timestamp,action,target,notes
2025-11-15T11:24:24.2265954,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T11:24:24.2485981,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
2025-11-15T11:24:24.2535955,generateSample,"GestorArchivosMeraz7151_data\logs\log_Meraz.csv","ensured"
2025-11-15T11:24:41.4249798,listDir,"GestorArchivosMeraz7151_data/samples","count=1"
2025-11-15T11:24:54.4451637,readText,"GestorArchivosMeraz7151_data/samples/datos_2067151.txt","lines=4"
2025-11-15T11:30:58.734571,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T11:30:58.7685732,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
2025-11-15T11:30:58.7695726,generateSample,"GestorArchivosMeraz7151_data\logs\log_Meraz.csv","ensured"
2025-11-15T11:31:07.1680219,listDir,"GestorArchivosMeraz7151_data/samples","count=1"
2025-11-15T11:31:16.7279699,readText,"GestorArchivosMeraz7151_data/samples/datos_2067151.txt","lines=4"
2025-11-15T11:31:57.2336962,writeText,"GestorArchivosMeraz7151_data/Angel Joseph Meraz Hernandez","lines=0"
2025-11-15T11:32:04.7544643,readText,"GestorArchivosMeraz7151_data/samples/datos_2067151.txt","lines=4"
2025-11-15T11:32:25.5025779,writeText,"GestorArchivosMeraz7151_data/Soy yo","lines=0"
2025-11-15T11:33:26.6431794,writeBinary,"GestorArchivosMeraz7151_data/samples/ejemplo.dat","bytes=28"
2025-11-15T11:33:26.6491828,readBinary,"GestorArchivosMeraz7151_data/samples/ejemplo.dat","bytes=28"
2025-11-15T11:34:00.9804402,writeBinary,"GestorArchivosMeraz7151_data/samples/ejemplo.dat","bytes=6"
2025-11-15T11:34:00.9844402,readBinary,"GestorArchivosMeraz7151_data/samples/ejemplo.dat","bytes=6"
2025-11-15T11:45:05.8040474,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T11:45:05.8320465,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
2025-11-15T11:45:05.8350453,generateSample,"GestorArchivosMeraz7151_data\logs\log_Meraz.csv","ensured"
2025-11-15T11:45:46.862222,writeBinary,"GestorArchivosMeraz7151_data/ejemplo.dat","bytes=25"
2025-11-15T11:45:46.8692215,readBinary,"GestorArchivosMeraz7151_data/ejemplo.dat","bytes=25"
2025-11-15T11:46:52.2616882,writeBinary,"GestorArchivosMeraz7151_data/ejemplo.dat","bytes=2"
2025-11-15T11:46:52.2656887,readBinary,"GestorArchivosMeraz7151_data/ejemplo.dat","bytes=2"
2025-11-15T11:56:01.4820763,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T11:56:01.510077,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
2025-11-15T11:56:01.5120804,generateSample,"GestorArchivosMeraz7151_data\logs\log_Meraz.csv","ensured"
2025-11-15T12:04:39.4508027,writeCSV,"GestorArchivosMeraz7151_data/samples/students.csv","records=3"
2025-11-15T12:05:03.8620154,backup,"GestorArchivosMeraz7151_data/samples/datos_2067151.txt","GestorArchivosMeraz7151_data\backups\datos_2067151.txt_backup_20251115_120503"
2025-11-15T12:05:12.8522991,listDir,"GestorArchivosMeraz7151_data/logs","count=1"
2025-11-15T12:09:08.0378697,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T12:09:08.0648722,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
2025-11-15T12:09:08.0668698,generateSample,"GestorArchivosMeraz7151_data\logs\log_Meraz.csv","ensured"
2025-11-15T12:09:53.0056937,serialize,"GestorArchivosMeraz7151_data/samples/persona.ser","PersonaAJSerializable"
2025-11-15T12:09:53.0421732,deserialize,"GestorArchivosMeraz7151_data/samples/persona.ser","PersonaAJSerializable"
2025-11-15T12:10:04.0731035,readCSV,"GestorArchivosMeraz7151_data/samples/students.csv","records=3"
2025-11-15T13:54:14.5652224,generateSample,"GestorArchivosMeraz7151_data\samples\datos_2067151.txt","lines=4"
2025-11-15T13:54:14.5912229,generateSample,"GestorArchivosMeraz7151_data\backups\backup_03Noviembre.dat","bytes=73"
